"bz_frnt_info","Mit Abschluss der Bestellung bekommen Sie einen Zahlschein angezeigt, den Sie sich ausdrucken oder auf Ihr Handy schicken lassen können. Bezahlen Sie den Online-Einkauf mit Hilfe des Zahlscheins an der Kasse einer Barzahlen.de-Partnerfiliale."
"bz_frnt_partner","<b>Bezahlen Sie bei:</b>"
"bz_frnt_error","Es gab einen Fehler bei der Datenübertragung. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsmethode."
"bz_frnt_ipn_pending","Barzahlen: Zahlschein erfolgreich angefordert und versendet."
"bz_frnt_ipn_paid","Barzahlen: Der Zahlschein wurde beim Offline-Partner bezahlt."
"bz_frnt_ipn_expired","Barzahlen: Der Zahlungszeitraum des Zahlscheins ist abgelaufen."
"bz_frnt_ipn_refund_pending","Barzahlen: Die Rückzahlung wurde erfolgreich angestoßen."
"bz_frnt_ipn_refund_completed","Barzahlen: Die Rückzahlung wurde erfolgreich ausgeführt."
"bz_frnt_ipn_refund_expired","Barzahlen: Der Rückzahlungszeitraum ist abgelaufen."
"bz_adm_title","Barzahlen"
"bz_adm_enabled_title","Aktiviert"
"bz_adm_order_status_title","Status neuer Bestellungen"
"bz_adm_resend_payment_slip","Zahlschein senden"
"bz_adm_resend_refund_slip","Auszahlschein senden"
"bz_adm_resend_payment_slip_question","Möchten Sie den Zahlschein erneut senden?"
"bz_adm_resend_refund_slip_question","Möchten Sie den Auszahlschein erneut senden?"
"Yes","Ja"
"No","Nein"
"bz_adm_sandbox_title","Testmodus"
"bz_adm_co_title","Titel (im Bezahlvorgang)"
"bz_adm_shopid_title","Shop ID"
"bz_adm_paymentkey_title","Zahlungsschlüssel"
"bz_adm_notificationkey_title","Benachrichtigungsschlüssel"
"bz_adm_customvar0_title","Benutzerdefinierte Variable 1"
"bz_adm_customvar1_title","Benutzerdefinierte Variable 2"
"bz_adm_customvar2_title","Benutzerdefinierte Variable 3"
"bz_adm_allowspecific_title","Zahlung aus zugelassenen Ländern"
"All Allowed Countries","Alle erlaubten Länder"
"Specific Countries","Bestimmte Länder"
"bz_adm_specificcountry_title","Bezahlvorgang aus bestimmten Ländern"
"bz_adm_maxordertotal_title","Maximale Auftragssumme"
"bz_adm_maxordertotal_comment","Welcher Warenwert darf höchstens erreicht werden, damit Barzahlen als Zahlungsweise angeboten wird? (Max. 999.99 EUR)"
"bz_adm_sortorder_title","Sortierreihenfolge"
"bz_adm_enabled_comment","<a href=""https://partner.barzahlen.de"" target=""_blank"">Registrieren Sie sich jetzt</a> für Ihr eigenes Barzahlen Konto"
"bz_adm_sandbox_comment","Aktivieren Sie den Testmodus um Zahlungen über die Sandbox abzuwickeln."
"bz_adm_co_comment","Das ist der Name der Bezahlmethode an der Kasse."
"bz_adm_shopid_comment","Ihre Barzahlen Shop ID (<a href=""https://partner.barzahlen.de"" target=""_blank"">https://partner.barzahlen.de</a>)"
"bz_adm_paymentkey_comment","Ihr Barzahlen Zahlungsschüssel (<a href=""https://partner.barzahlen.de"" target=""_blank"">https://partner.barzahlen.de</a>)"
"bz_adm_notificationkey_comment","Ihr Barzahlen Benachrichtigungsschlüssel (<a href=""https://partner.barzahlen.de"" target=""_blank"">https://partner.barzahlen.de</a>)"
"bz_adm_specificcountry_comment","Aus welchen Ländern möchten Sie Zahlungen akzeptieren? (Momentan nur Deutschland.)"
"bz_adm_sortorder_comment","An welcher Stelle soll diese Bezahlmethode im Bezahlvorgang angezeigt werden?"
"bz_adm_notificationkey_exception","Sie müssen einen Benachrichtigungsschlüssel angeben."
"bz_adm_paymentkey_exception","Sie müssen einen Zahlungsschlüssel angeben."
"bz_adm_shopid_exception","Sie müssen eine gültige Shop ID angeben."
"bz_adm_specificcountry_exception","Im Moment ist nur Deutschland erlaubt. Dies wurde bereits so gesetzt."
"bz_adm_co_exception","Sie haben keinen Titel für den Bezahlvorgang gewählt. Es wurde der Standardname gesetzt."
"bz_adm_maxordertotal_exception","Barzahlen erlaubt einen Maximalwert von 999.99 Euro. Dies wurde soeben gesetzt."
"bz_adm_debug_title","Erweitertes Logging"
"bz_adm_debug_comment","Aktivieren Sie Debugging für zusätzliches Logging."
"bz_adm_refund_success", "Die Rückzahlung wurde erfolgreich angestoßen."
"bz_adm_refund_error", "Es ist ein Fehler aufgetreten, die Rückzahlung konnte nicht veranlasst werden. Prüfen Sie barzahlen.log für weitere Informationen."
"bz_adm_refund_declined", "Die Rückzahlung konnte nicht veranlasst werden. Der verfügbare Betrag für Rückzahlungen auf dem Barzahlen.de Händlerkonto reicht nicht aus."
"bz_adm_resend_payment_success", "Der Zahlschein wurde erneut an den Kunden versendet."
"bz_adm_resend_refund_success", "Der Auszahlschein wurde erneut an den Kunden versendet."
"bz_adm_resend_error", "Es ist ein Fehler aufgetreten. Prüfen Sie barzahlen.log für weitere Informationen."
"bz_adm_partner","<b>Bezahlen möglich bei:</b>"
"bz_adm_sandbox","Der <strong>Sandbox Modus</strong> ist aktiv. Allen getätigten Zahlungen wird ein Test-Zahlschein zugewiesen. Dieser kann nicht von unseren Einzelhandelspartnern verarbeitet werden."
"bz_frnt_ipn_pending","Barzahlen: Zahlschein erfolgreich angefordert und versendet."
"bz_adm_now_available","Version %1$s f&uuml;r Barzahlen.de-Plugin verf&uuml;gbar unter: <a href=""%2$s"" style=""font-size: 1em; color: #333;"" target=""_blank"">%2$s</a>"