"bz_adm_title","Barzahlen"
"bz_adm_enabled_title","Aktiviert"
"bz_adm_order_status_title","Status neuer Bestellungen"
"bz_adm_resend_payment_slip","Zahlschein senden"
"bz_adm_resend_refund_slip","Auszahlschein senden"
"bz_adm_resend_payment_slip_question","Möchten Sie den Zahlschein erneut senden?"
"bz_adm_resend_refund_slip_question","Möchten Sie den Auszahlschein erneut senden?"
"Yes","Ja"
"No","Nein"
"bz_adm_sandbox_title","Testmodus"
"bz_adm_co_title","Titel (im Bezahlvorgang)"
"bz_adm_shopid_title","Shop ID"
"bz_adm_paymentkey_title","Zahlungsschlüssel"
"bz_adm_notificationkey_title","Benachrichtigungsschlüssel"
"bz_adm_customvar0_title","Benutzerdefinierte Variable 1"
"bz_adm_customvar1_title","Benutzerdefinierte Variable 2"
"bz_adm_customvar2_title","Benutzerdefinierte Variable 3"
"bz_adm_allowspecific_title","Zahlung aus zugelassenen Ländern"
"All Allowed Countries","Alle erlaubten Länder"
"Specific Countries","Bestimmte Länder"
"bz_adm_specificcountry_title","Bezahlvorgang aus bestimmten Ländern"
"bz_adm_maxordertotal_title","Maximale Auftragssumme"
"bz_adm_maxordertotal_comment","Welcher Warenwert darf höchstens erreicht werden, damit Barzahlen als Zahlungsweise angeboten wird? (Max. 1000 EUR)"
"bz_adm_sortorder_title","Sortierreihenfolge"
"bz_adm_enabled_comment","<a href=""https://www.barzahlen.com/merchant_area/"" target=""_blank"">Registrieren Sie sich jetzt</a> für Ihr eigenes Barzahlen Konto"
"bz_adm_sandbox_comment","Aktivieren Sie den Testmodus um Zahlungen über die Sandbox abzuwickeln."
"bz_adm_co_comment","Das ist der Name der Bezahlmethode an der Kasse."
"bz_adm_shopid_comment","Ihre Barzahlen Shop ID (<a href=""https://www.barzahlen.com/merchant_area/"" target=""_blank"">https://www.barzahlen.de/merchant-area/</a>)"
"bz_adm_paymentkey_comment","Ihr Barzahlen Zahlungsschüssel (<a href=""https://www.barzahlen.com/merchant_area/"" target=""_blank"">https://www.barzahlen.de/merchant-area/</a>)"
"bz_adm_notificationkey_comment","Ihr Barzahlen Benachrichtigungsschlüssel (<a href=""https://www.barzahlen.com/merchant_area/"" target=""_blank"">https://www.barzahlen.de/merchant-area/</a>)"
"bz_adm_specificcountry_comment","Aus welchen Ländern möchten Sie Zahlungen akzeptieren? (Momentan nur Deutschland.)"
"bz_adm_sortorder_comment","An welcher Stelle soll diese Bezahlmethode im Bezahlvorgang angezeigt werden?"
"bz_adm_notificationkey_exception","Sie müssen einen Benachrichtigungsschlüssel angeben."
"bz_adm_paymentkey_exception","Sie müssen einen Zahlungsschlüssel angeben."
"bz_adm_shopid_exception","Sie müssen eine gültige Shop ID angeben."
"bz_adm_specificcountry_exception","Im Moment ist nur Deutschland erlaubt. Dies wurde bereits so gesetzt."
"bz_adm_co_exception","Sie haben keinen Titel für den Bezahlvorgang gewählt. Es wurde der Standardname gesetzt."
"bz_adm_maxordertotal_exception","Barzahlen erlaubt systembedingt einen Maximalwert von 1000.00 Euro. Dies wurde soeben gesetzt."
"bz_adm_debug_title","Erweitertes Logging"
"bz_adm_debug_comment","Aktivieren Sie Debugging für zusätzliches Logging."
"bz_adm_refund_success", "Die Rückzahlung wurde erfolgreich angestoßen."
"bz_adm_refund_error", "Es ist ein Fehler aufgetreten, die Rückzahlung konnte nicht veranlasst werden. Prüfen Sie barzahlen.log für weitere Informationen."
"bz_adm_resend_payment_success", "Der Zahlschein wurde erneut an den Kunden versendet."
"bz_adm_resend_refund_success", "Der Auszahlschein wurde erneut an den Kunden versendet."
"bz_adm_resend_error", "Es ist ein Fehler aufgetreten. Prüfen Sie barzahlen.log für weitere Informationen."